ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
Left-Calc--calcarine-cortex,Left Calcarine Cortex,L. Calcarine Cortex,0.272042849315546,1.878194726426464e-56,0.857308333179681,3.038376593307822e-175,-0.290410454655913,0.0074063953322136,0.308335102133203,3.496095865139586e-09,0.0963485370864524,1.182999821192166e-10
Right-CO----central-operculum,Right Central Operculum,R. Central Operculum,0.459531502217381,4.817704323750693e-146,0.301327987300755,7.575805756758749e-28,,,0.157529877833349,0.0013416131322412,-0.0754623881559094,1.6984017502981833e-08
Left-CO----central-operculum,Left Central Operculum,L. Central Operculum,0.413409522761082,1.8735928250152922e-115,0.151450758439456,3.158992706954015e-07,,,0.236023912046877,4.631059335731776e-06,-0.121136928675616,1.843459596959196e-17
Right-Cun---cuneus,Right Cuneus,R. Cuneus,0.293028946755068,1.846434316116497e-68,0.767897277025927,3.7367457291375525e-151,-0.357517044229181,0.0005509927880188,,,0.0948476103729684,7.946014538331776e-11
Left-Cun---cuneus,Left Cuneus,L. Cuneus,0.26112821496691,1.7850201171595012e-52,0.717085195769155,6.78976718685637e-129,-0.190817823976807,0.077850491878825,,,0.0719709292600091,1.1245580679493306e-06
Right-Ent---entorhinal-area,Right Entorhinal Area,R. Entorhinal Area,0.0847492963761215,1.0113081433847022e-06,0.815462915310152,2.537787303425669e-79,0.302454132023166,0.0410723463655432,0.30333994565097,1.9407821373058106e-08,,
Left-Ent---entorhinal-area,Left Entorhinal Area,L. Entorhinal Area,0.0782840611948559,3.150924572271272e-06,0.626757915750888,2.0496148139915761e-50,0.959179377244118,1.8880195102155046e-10,0.376430683983545,7.203938905700639e-13,-0.0575624051284606,0.0131428323603689
Right-FO----frontal-operculum,Right Frontal Operculum,R. Front. Operculum,0.39077848567962,7.426661809854299e-102,0.362881033698145,6.556010492384997e-36,-0.284274198818629,0.0078939475954398,0.188019623176086,0.0003733253241103,-0.0887096126621076,2.5142580325244622e-09
Left-FO----frontal-operculum,Left Frontal Operculum,L. Front. Operculum,0.368816795437252,2.2412364810576392e-89,0.312770162331511,1.900962669361736e-25,-0.318049682176047,0.0039150608245868,0.182235601548017,0.0007607695594797,-0.0740356036105706,1.3362459371349354e-06
Right-FRP---frontal-pole,Right Frontal Pole,R. Front. Pole,0.147048667595969,3.018460113424677e-15,0.441872495887238,2.175017519734216e-35,,,,,,
Left-FRP---frontal-pole,Left Frontal Pole,L. Front. Pole,0.178770276051705,2.7957168438614743e-22,0.338808288473466,2.16489666904328e-19,,,,,0.0438043998235459,0.0269243470401195
Right-FuG---fusiform-gyrus,Right Fusiform Gyrus,R. Fusiform Gyrus,0.240553117191271,1.9548541821987413e-46,0.749553498108809,3.745549502721222e-77,0.811766534238489,3.2915352980186557e-09,0.168012052547176,0.0010477664758065,,
Left-FuG---fusiform-gyrus,Left Fusiform Gyrus,L. Fusiform Gyrus,0.241121315015561,1.560239138708716e-49,0.833444890877311,2.811937403413545e-109,0.740756936377863,4.497769846853113e-09,0.138083831074877,0.0059182975172904,,
Right-GRe---gyrus-rectus,Right Gyrus Rectus,R. Gyrus Rectus,0.155428128196797,3.859941748168711e-19,0.478017344279126,4.407808212788044e-34,0.892193828279097,2.4759359446627485e-10,,,-0.0702180128790242,0.0007848038685013
Left-GRe---gyrus-rectus,Left Gyrus Rectus,L. Gyrus Rectus,0.164945635046012,2.8257534791963788e-21,0.435825440677608,1.0165230010127059e-29,0.758948399754072,3.0941441399038284e-08,0.104627678221344,0.0651737315571564,-0.0599596457242654,0.0041464515416568
Right-IOG---inferior-occipital-gyrus,Right Inferior Occipital Gyrus,R. Inf. Occipital Gyrus,0.329153325495657,6.700574411036668e-90,0.78554645342282,1.0893005845759621e-110,0.486902007248588,9.42402222342696e-06,0.187790508405805,0.0001023355763838,0.140907448863653,6.069093757606085e-20
Left-IOG---inferior-occipital-gyrus,Left Inferior Occipital Gyrus,L. Inf. Occipital Gyrus,0.289730065511956,1.4589587141110693e-66,0.97147030022478,4.005291806825955e-184,,,0.153481366620884,0.0026834979279419,0.120793887442468,1.1518181175849811e-14
Right-ITG---inferior-temporal-gyrus,Right Inferior Temporal Gyrus,R. Inf. Temp. Gyrus,0.218923246176974,3.834483454091161e-41,0.490793813945816,4.074227461594989e-36,1.94111772452029,3.7477624214463217e-47,0.138812616535772,0.0059182975172904,0.0549185455557388,0.0107589098993698
Left-ITG---inferior-temporal-gyrus,Left Inferior Temporal Gyrus,L. Inf. Temp. Gyrus,0.230685152418726,1.3618005191776554e-44,0.429819660718623,2.2123633938721036e-26,1.40718300143211,3.784609291341831e-23,0.128882108681693,0.0113208481768505,0.0390979732694286,0.1023969853726645
Right-LiG---lingual-gyrus,Right Lingual Gyrus,R. Lingual Gyrus,0.252877295468449,2.4217950257022105e-57,1.01114603641334,3.505595013269989e-199,0.725264304388389,3.6126298318344154e-10,0.280242241175277,4.2789574560149475e-09,0.0463017359333671,0.0084735520804113
Left-LiG---lingual-gyrus,Left Lingual Gyrus,L. Lingual Gyrus,0.219750448304674,2.629072942001874e-41,1.00376329058593,6.192178993161769e-186,0.631205392333259,2.3624427766144852e-08,0.308742848386992,8.741941507621491e-10,,
Right-LOrG--lateral-orbital-gyrus,Right Lateral Orbital Gyrus,R. Lat. Orbital Gyrus,0.254301810088922,8.743143409561962e-48,0.631536197210596,1.808528096412884e-57,0.776442587140586,3.0876558141900105e-08,,,0.118123592522199,7.777734779537297e-09
Left-LOrG--lateral-orbital-gyrus,Left Lateral Orbital Gyrus,L. Lat. Orbital Gyrus,0.215981279646506,4.982725486344148e-37,0.350010264449964,3.7255671866930696e-17,0.715478978671587,1.843253471481272e-06,,,0.124025229165894,1.4455175202579256e-08
Right-MCgG--middle-cingulate-gyrus,Right Middle Cingulate Gyrus,R. Mid. Cingulate Gyrus,0.177193539552389,1.810693781737428e-25,0.622748126711459,7.935876414448521e-54,,,0.238845217589775,5.989899647915714e-06,0.180093998402499,4.162119051552576e-20
Left-MCgG--middle-cingulate-gyrus,Left Middle Cingulate Gyrus,L. Mid. Cingulate Gyrus,0.187115478315465,5.4244888599146684e-27,0.429567324226678,7.701323849645857e-28,,,0.200747880380919,0.0002654325231439,0.116092201967439,3.2774212507318084e-09
Right-MFC---medial-frontal-cortex,Right Medial Frontal Cortex,R. Med. Front. Cortex,0.247346296788213,3.4435830013043225e-45,0.595207750418203,1.04930359333954e-66,,,0.371492006485481,5.591770213576185e-12,,
Left-MFC---medial-frontal-cortex,Left Medial Frontal Cortex,L. Med. Front. Cortex,0.226215134112526,9.214337321333815e-39,0.445825479811512,2.154533570985293e-37,,,0.407733226289383,2.3101909894343808e-14,,
