ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
CUNEUS_WM_left,Left Cuneus WM,L. Cuneus WM,0.0810939358675547,4.395061927993336e-05,0.554777162742784,1.994506760997352e-96,-0.383066677513059,4.020711504196108e-05,,,,
LINGUAL_WM_left,Left Lingual WM,L. Lingual WM,-0.0646598845845277,0.0016073460820382,0.366342497310501,2.295961466743532e-36,-0.64003146194485,6.388141502163915e-10,,,0.0429416092856661,0.0094266036864356
FUSIFORM_WM_left,Left Fusiform WM,L. Fusiform WM,-0.0661233021122353,0.0005577290295957,0.478272019319428,4.0649019036304586e-47,,,0.26312614254782,5.235829707546361e-06,,
SUPERIOR_OCCIPITAL_WM_left,Left Superior Occipital WM,L. Sup. Occipital WM,0.0820908858452569,3.641379252336304e-05,0.428778254991256,1.4614658729598098e-73,-0.171744466145747,0.0781217624611352,-0.144720617740563,0.0186231860115809,-0.0226264740265941,0.1099344790814187
INFERIOR_OCCIPITAL_WM_left,Left Inferior Occipital WM,L. Inf. Occipital WM,-0.0511621439213073,0.0149020995569074,0.47743768205357,1.4631259566769982e-60,-0.559974124163168,7.461014845403905e-08,0.159911221552601,0.0111060834638032,0.0342763871490307,0.0445346166593085
MIDDLE_OCCIPITAL_WM_left,Left Middle Occipital WM,L. Mid. Occipital WM,,,0.544061595071786,3.5394772931138407e-102,-0.501041395627132,2.1916759638444036e-08,,,0.0255060726831813,0.0863528282571715
SUPERIOR_TEMPORAL_WM_left,Left Superior Temporal WM,L. Sup. Temp. WM,0.241253507175694,1.7626368030958302e-38,-0.301545819398032,2.0556999400652531e-22,,,0.291606827395346,2.711589816505143e-07,,
INFERIOR_TEMPORAL_WM_left,Left Inferior Temporal WM,L. Inf. Temp. WM,-0.0622547348920703,0.0029256476412657,-0.230520837275526,6.669618718626776e-12,,,0.145949668723699,0.0225837249939775,-0.0355403154372891,0.0634173642050966
MIDDLE_TEMPORAL_WM_left,Left Middle Temporal WM,L. Mid. Temp. WM,-0.0669974525505998,0.0019192584132124,0.152146567251758,1.1609665622783802e-09,,,,,,
LATERAL_FRONTO-ORBITAL_WM_left,Left Lateral Fronto-orbital WM,L. Lat. Forb. WM,,,0.372012503209281,7.291206942751485e-28,-0.566343815383892,1.672617923311474e-06,0.240067269047288,8.593473132185371e-05,,
MIDDLE_FRONTO-ORBITAL_WM_left,Left Middle Fronto-orbital WM,L. Mid. Forb. WM,,,0.585165329304341,4.393887986752499e-59,-0.373726883839764,0.0048466149032257,0.393737763808786,7.892363208885169e-12,,
