id,ROI,ROI_rename
86,LATERAL_FRONTO-ORBITAL_GYRUS_right,Right Lateral Fronto-orbital Gyrus
87,MIDDLE_FRONTO-ORBITAL_GYRUS_right,Right Middle Fronto-orbital Gyrus
88,SUPRAMARGINAL_GYRUS_right,Right Supramarginal Gyrus
89,GYRUS_RECTUS_right,Right Gyrus Rectus
90,INSULAR_right,Right Insular
91,AMYGDALA_right,Right Amygdala
92,HIPPOCAMPUS_right,Right Hippocampus
93,CEREBELLUM_right,Right Cerebellum
94,Corticospinal_tract_right,Right Corticospinal Tract
95,Inferior_cerebellar_peduncle_right,Right Inferior Cerebellar Peduncle
96,Medial_lemniscus_right,Right Medial Lemniscus
97,Superior_cerebellar_peduncle_right,Right Superior Cerebellar Peduncle
98,Cerebral_peduncle_right,Right Cerebral Peduncle
99,Anterior_limb_of_internal_capsule_right,Right Anterior Limb of Internal Capsule
100,Posterior_limb_of_internal_capsule_right,Right Posterior Limb of Internal Capsule
101,Posterior_thalamic_radiation_(include_optic_radiation)_right,Right Posterior Thalamic Radiation (Include Optic Radiation)
102,Anterior_corona_radiata_right,Right Anterior Corona Radiata
103,Superior_corona_radiata_right,Right Superior Corona Radiata
104,Posterior_corona_radiata_right,Right Posterior Corona Radiata
105,Cingulum_(cingulate_gyrus)_right,Right Cingulum (Cingulate Gyrus)
106,Cingulum_(hippocampus)_right,Right Cingulum (Hippocampus)
107,Fornix(cres)_Stria_terminalis_right,Right Fornix(cres) Stria Terminalis
108,Superior_longitudinal_fasciculus_right,Right Superior Longitudinal Fasciculus
109,Superior_fronto-occipital_fasciculus_right,Right Superior Fronto-occipital Fasciculus
110,Inferior_fronto-occipital_fasciculus_right,Right Inferior Fronto-occipital Fasciculus
111,Sagittal_stratum_right,Right Sagittal Stratum
112,External_capsule_right,Right External Capsule
113,Uncinate_fasciculus_right,Right Uncinate Fasciculus
114,Pontine_crossing_tract_right,Right Pontine Crossing Tract
115,Middle_cerebellar_peduncle_right,Right Middle Cerebellar Peduncle
116,Fornix_(column_and_body)_right,Right Fornix (Column&Body)
117,Genu_of_corpus_callosum_right,Right Genu of Corpus Callosum
118,Body_of_corpus_callosum_right,Right Body of Corpus Callosum
119,Splenium_of_corpus_callosum_right,Right Splenium of Corpus Callosum
120,Retrolenticular_part_of_internal_capsule_right,Right Retrolenticular Part of Internal Capsule
121,Red_Nucleus_right,Right Red Nucleus
122,Substancia_Nigra_right,Right Substancia Nigra
123,Tapatum_right,Right Tapatum
124,CAUDATE_NUCLEUS_right,Right Caudate Nucleus
125,PUTAMEN_right,Right Putamen
126,THALAMUS_right,Right Thalamus
127,GLOBUS_PALLIDUS_right,Right Globus Pallidus
128,MIDBRAIN_right,Right Midbrain
129,PONS_right,Right Pons
130,MEDULLA_right,Right Medulla
