id,ROI,ROI_rename,ROI_abbr
169,Left-PCu---precuneus,Left Precuneus,L. Precuneus
170,Right-PHG---parahippocampal-gyrus,Right Parahippocampal Gyrus,R. Parahippocampal Gyrus
171,Left-PHG---parahippocampal-gyrus,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus
172,Right-PIns--posterior-insula,Right Posterior Insula,R. Post. Insula
173,Left-PIns--posterior-insula,Left Posterior Insula,L. Post. Insula
174,Right-PO----parietal-operculum,Right Parietal Operculum,R. Parietal Operculum
175,Left-PO----parietal-operculum,Left Parietal Operculum,L. Parietal Operculum
176,Right-PoG---postcentral-gyrus,Right Postcentral Gyrus,R. Postcent. Gyrus
177,Left-PoG---postcentral-gyrus,Left Postcentral Gyrus,L. Postcent. Gyrus
178,Right-POrG--posterior-orbital-gyrus,Right Posterior Orbital Gyrus,R. Post. Orbital Gyrus
179,Left-POrG--posterior-orbital-gyrus,Left Posterior Orbital Gyrus,L. Post. Orbital Gyrus
180,Right-PP----planum-polare,Right Planum Polare,R. Planum Polare
181,Left-PP----planum-polare,Left Planum Polare,L. Planum Polare
182,Right-PrG---precentral-gyrus,Right Precentral Gyrus,R. Precentral Gyrus
183,Left-PrG---precentral-gyrus,Left Precentral Gyrus,L. Precentral Gyrus
184,Right-PT----planum-temporale,Right Planum Temporale,R. Planum Temp.e
185,Left-PT----planum-temporale,Left Planum Temporale,L. Planum Temp.e
186,Right-SCA---subcallosal-area,Right Subcallosal Area,R. Subcallosal Area
187,Left-SCA---subcallosal-area,Left Subcallosal Area,L. Subcallosal Area
190,Right-SFG---superior-frontal-gyrus,Right Superior Frontal Gyrus,R. Sup. Front. Gyrus
191,Left-SFG---superior-frontal-gyrus,Left Superior Frontal Gyrus,L. Sup. Front. Gyrus
192,Right-SMC---supplementary-motor-cortex,Right Supplementary Motor Cortex,R. Suppl. Motor Cortex
193,Left-SMC---supplementary-motor-cortex,Left Supplementary Motor Cortex,L. Suppl. Motor Cortex
194,Right-SMG---supramarginal-gyrus,Right Supramarginal Gyrus,R. Supramarginal Gyrus
195,Left-SMG---supramarginal-gyrus,Left Supramarginal Gyrus,L. Supramarginal Gyrus
196,Right-SOG---superior-occipital-gyrus,Right Superior Occipital Gyrus,R. Sup. Occipital Gyrus
197,Left-SOG---superior-occipital-gyrus,Left Superior Occipital Gyrus,L. Sup. Occipital Gyrus
198,Right-SPL---superior-parietal-lobule,Right Superior Parietal Lobule,R. Sup. Parietal Lobule
199,Left-SPL---superior-parietal-lobule,Left Superior Parietal Lobule,L. Sup. Parietal Lobule
200,Right-STG---superior-temporal-gyrus,Right Superior Temporal Gyrus,R. Sup. Temp. Gyrus
201,Left-STG---superior-temporal-gyrus,Left Superior Temporal Gyrus,L. Sup. Temp. Gyrus
202,Right-TMP---temporal-pole,Right Temporal Pole,R. Temp. Pole
203,Left-TMP---temporal-pole,Left Temporal Pole,L. Temp. Pole
204,Right-TrIFG-triangular-part-of-the-IFG,Right Triangular Part of the Inferior Frontal Gyrus,R. Triangular Pt.  the IFG
205,Left-TrIFG-triangular-part-of-the-IFG,Left Triangular Part of the Inferior Frontal Gyrus,L. Triangular Pt.  the IFG
206,Right-TTG---transverse-temporal-gyrus,Right Transverse Temporal Gyrus,R. Transverse Temp. Gyrus
207,Left-TTG---transverse-temporal-gyrus,Left Transverse Temporal Gyrus,L. Transverse Temp. Gyrus
