id,ROI,ROI_rename,ROI_abbr
74,PRE-CUNEUS_right,Right Precuneus,R. Precuneus
75,CUNEUS_right,Right Cuneus,R. Cuneus
76,LINGUAL_GYRUS_right,Right Lingual Gyrus,R. Lingual Gyrus
77,FUSIFORM_GYRUS_right,Right Fusiform Gyrus,R. Fusiform Gyrus
78,PARAHIPPOCAMPAL_GYRUS_right,Right Parahippocampal Gyrus,R. Parahippocampal Gyrus
79,SUPERIOR_OCCIPITAL_GYRUS_right,Right Superior Occipital Gyrus,R. Sup. Occipital Gyrus
80,INFERIOR_OCCIPITAL_GYRUS_right,Right Inferior Occipital Gyrus,R. Inf. Occipital Gyrus
81,MIDDLE_OCCIPITAL_GYRUS_right,Right Middle Occipital Gyrus,R. Mid. Occipital Gyrus
82,ENTORHINAL_AREA_right,Right Entorhinal Area,R. Entorhinal Area
83,SUPERIOR_TEMPORAL_GYRUS_right,Right Superior Temporal Gyrus,R. Sup. Temp. Gyrus
84,INFERIOR_TEMPORAL_GYRUS_right,Right Inferior Temporal Gyrus,R. Inf. Temp. Gyrus
85,MIDDLE_TEMPORAL_GYRUS_right,Right Middle Temporal Gyrus,R. Mid. Temp. Gyrus
86,LATERAL_FRONTO-ORBITAL_GYRUS_right,Right Lateral Fronto-orbital Gyrus,R. Lat. Forb. Gyrus
87,MIDDLE_FRONTO-ORBITAL_GYRUS_right,Right Middle Fronto-orbital Gyrus,R. Mid. Forb. Gyrus
88,SUPRAMARGINAL_GYRUS_right,Right Supramarginal Gyrus,R. Supramarginal Gyrus
89,GYRUS_RECTUS_right,Right Gyrus Rectus,R. Gyrus Rectus
90,INSULAR_right,Right Insular,R. Insular
91,AMYGDALA_right,Right Amygdala,R. Amygdala
92,HIPPOCAMPUS_right,Right Hippocampus,R. Hippocampus
93,CEREBELLUM_right,Right Cerebellum,R. Cerebellum
94,Corticospinal_tract_right,Right Corticospinal Tract,R. Corticospinal Tract
95,Inferior_cerebellar_peduncle_right,Right Inferior Cerebellar Peduncle,R. Inf. Cerebellar Peduncle
96,Medial_lemniscus_right,Right Medial Lemniscus,R. Med. Lemniscus
97,Superior_cerebellar_peduncle_right,Right Superior Cerebellar Peduncle,R. Sup. Cerebellar Peduncle
98,Cerebral_peduncle_right,Right Cerebral Peduncle,R. Cerebral Peduncle
99,Anterior_limb_of_internal_capsule_right,Right Anterior Limb of Internal Capsule,R. Ant. Limb  Int. Capsule
100,Posterior_limb_of_internal_capsule_right,Right Posterior Limb of Internal Capsule,R. Post. Limb  Int. Capsule
101,Posterior_thalamic_radiation_(include_optic_radiation)_right,Right Posterior Thalamic Radiation (Include Optic Radiation),R. Post. Thalamic Radiation
102,Anterior_corona_radiata_right,Right Anterior Corona Radiata,R. Ant. Corona Radiata
103,Superior_corona_radiata_right,Right Superior Corona Radiata,R. Sup. Corona Radiata
